Date,Open,High,Low,Close
12/25/2018,30.89,30.89,30.59,30.66
12/26/2018,31.04,31.22,30.89,30.89
12/27/2018,31.41,31.52,31.19,31.19
12/28/2018,31.34,31.49,31.19,31.49
1/2/2019,31.19,31.45,30.7,30.74
1/3/2019,30.93,30.93,30.37,30.44
1/4/2019,30.29,30.93,30.22,30.66
1/7/2019,31.19,31.41,31.04,31.19
1/8/2019,31.19,31.34,31.11,31.34
1/9/2019,31.41,31.78,31.26,31.63
1/10/2019,31.63,31.75,31.45,31.45
1/11/2019,31.63,31.75,31.37,31.49
1/14/2019,31.56,31.78,31.34,31.71
1/15/2019,31.56,31.93,31.56,31.93
1/16/2019,32.08,32.08,31.75,31.75
1/17/2019,31.71,31.9,31.34,31.34
1/18/2019,31.41,31.71,31.34,31.34
1/21/2019,31.49,31.93,31.49,31.71
1/22/2019,31.71,31.9,31.6,31.6
1/23/2019,31.56,31.63,31.45,31.6
1/24/2019,31.63,31.78,31.6,31.67
1/25/2019,31.63,31.78,31.56,31.63
1/28/2019,31.71,31.71,31.41,31.41
1/29/2019,31.63,31.71,31.34,31.71
1/30/2019,31.71,32.38,31.63,32.23
1/31/2019,32.31,32.38,32.01,32.23
2/1/2019,32.23,32.23,30.96,31.78
2/11/2019,32.08,33.05,31.86,32.94
2/12/2019,32.83,33.28,32.75,32.75
2/13/2019,32.83,33.57,32.83,33.24
2/14/2019,33.31,33.5,33.01,33.01
2/15/2019,33.01,33.16,32.83,32.98
2/18/2019,33.2,33.28,32.9,33.13
2/19/2019,33.35,33.69,33.05,33.13
2/20/2019,33.05,33.61,33.05,33.46
2/21/2019,33.28,33.5,33.05,33.42
2/22/2019,33.42,33.87,33.13,33.72
2/25/2019,34.02,34.47,33.91,33.95
2/26/2019,33.98,34.02,33.57,33.72
2/27/2019,33.72,33.91,33.5,33.65
2/28/2019,33.65,33.65,32.98,32.98
3/1/2019,33.24,33.28,32.94,33.28
3/4/2019,33.28,33.72,33.28,33.57
3/5/2019,33.57,33.72,33.42,33.5
3/6/2019,33.54,33.65,33.16,33.28
3/7/2019,33.28,33.57,33.28,33.39
3/8/2019,33.35,33.42,33.16,33.31
3/11/2019,33.31,33.46,33.16,33.2
3/12/2019,33.39,34.69,33.39,34.69
3/13/2019,34.62,34.84,34.47,34.47
3/14/2019,34.47,34.69,34.32,34.51
3/15/2019,34.54,34.54,34.13,34.32
3/18/2019,34.54,34.66,34.28,34.47
3/19/2019,34.47,34.54,34.1,34.1
