Date,Open,High,Low,Close
12/25/2017,73.1,75.4,73,74.2
12/26/2017,74.9,75.5,74.3,75.5
12/27/2017,74.9,75.7,74.8,75
12/28/2017,75,76,74.5,75.7
12/29/2017,76,77,76,76.7
1/2/2018,77,80,76.7,80
1/3/2018,80,84.3,80,82.5
1/4/2018,81.9,83.4,81.5,82.5
1/5/2018,82.5,85,81.8,84.7
1/8/2018,84.9,88.8,83.6,88.8
1/9/2018,88.8,90.6,88.3,90
1/10/2018,90,90,86.8,87
1/11/2018,85.7,90,85.7,90
1/12/2018,93.5,93.5,90.5,93
1/15/2018,93.3,93.7,90.1,92.8
1/16/2018,91.5,92.8,90.4,92.4
1/17/2018,92.5,92.6,90.2,90.2
1/18/2018,90,92,87.5,92
1/19/2018,92,92.2,87.5,87.5
1/22/2018,89,93.5,89,92.5
1/25/2018,93,97.5,93,97.2
1/26/2018,97.3,98.2,95.1,97.5
1/29/2018,97.5,98,94.2,94.5
1/30/2018,94.5,94.8,90,90.8
1/31/2018,90.8,95,90.6,92.1
2/1/2018,94,94,90.5,92.1
2/2/2018,92,92.5,86.7,91
2/5/2018,85.5,87,84.7,84.7
2/6/2018,78.8,86,78.8,86
2/7/2018,86,86.5,83,83
2/8/2018,83.9,86.4,82.5,85
2/9/2018,81,83,79.5,82.2
2/12/2018,83.4,85,83.3,85
2/13/2018,85,87,85,85.6
2/21/2018,85.6,90,85.6,89.5
2/22/2018,88,90,88,88
2/23/2018,89,90.7,88.1,89.8
2/26/2018,91,93,89.9,89.9
2/27/2018,91.5,92,90.4,91.4
2/28/2018,91,92.5,89.2,89.2
3/1/2018,90,91.5,89.3,91
3/2/2018,91,93.2,89.5,91.5
3/5/2018,93,93,91,91
3/6/2018,91,91.6,90.5,90.5
3/7/2018,90.6,91.7,90.4,91.4
3/8/2018,91.4,95,91.2,94
3/9/2018,95,96,94,94.1
3/12/2018,95,95.7,94.2,95.2
3/13/2018,95.2,95.2,93.5,95
3/14/2018,94.2,95.4,94,94
3/15/2018,95,95,93,93
3/16/2018,94.2,94.2,92,92
3/19/2018,92,94.3,92,94.3
3/20/2018,94.7,99,100.5,100.5
3/21/2018,100.5,103.4,100,102.4
3/22/2018,102.5,104.5,102.5,103.6
3/23/2018,99.5,99.9,100,102
3/26/2018,102,109.1,101,109.1
3/27/2018,111,114,109,109
3/28/2018,109,110.4,107,110.4
3/29/2018,111.5,112,108,109.5
3/30/2018,109.5,115,106.8,113.5
4/2/2018,113,118,113,114.6
4/3/2018,115,115,111.8,113
4/4/2018,113,114.9,110,110
4/5/2018,112,112.8,109,109.5
4/6/2018,109.5,112,105,106.8
4/9/2018,105,109.8,102,107
4/10/2018,109,109,104.8,105
4/11/2018,105,99.9,100,98
4/12/2018,98,99.9,100,102
4/13/2018,102,103.3,100,102.5
4/16/2018,104,106.8,103.5,104.3
4/17/2018,106,106,103.5,104
4/18/2018,104,99.9,100,100
4/19/2018,100,99.9,100,93
4/20/2018,90.5,96.2,86.8,96.2
4/23/2018,96.2,98,94,95
4/24/2018,95,96,89,95.8
4/26/2018,95,95,89.1,89.2
4/27/2018,87.3,93,87,91.8
5/2/2018,92.5,93.7,91.8,93.4
5/3/2018,93.4,93.5,91.5,92
5/4/2018,92,93.9,90.6,91.5
5/7/2018,91.5,97,91,96.5
5/8/2018,96.5,98.5,93.1,97
5/9/2018,97,98,94.5,95
5/10/2018,95,96.5,92,94
5/11/2018,94,94.8,92.5,93.9
5/14/2018,94.5,98.5,93.5,98
5/15/2018,99,99.4,96,96.2
5/16/2018,96.2,96.2,92.6,92.9
5/17/2018,92.7,93.9,87,87
5/18/2018,88,92.5,87.5,92.5
5/21/2018,92.5,93.5,89,89
5/22/2018,88,89.9,82.8,85
5/23/2018,83.2,85.2,83,85
5/24/2018,85,85.3,83,84.5
5/25/2018,84,84.5,82.5,83.5
5/28/2018,81.5,82.5,77.7,80
5/29/2018,78,82.5,75.5,80
5/30/2018,80,81.5,77.2,80
5/31/2018,79,84.5,79,81
6/1/2018,82,83.9,81,83.9
6/4/2018,84.9,84.9,83.6,84.2
6/5/2018,84.2,86.8,84.1,85.4
6/6/2018,85.4,85.5,84.5,85.5
6/7/2018,86.4,89.4,86,87.3
6/8/2018,87.3,87.8,85.6,86
6/11/2018,86,86.7,85,85
6/12/2018,84,84,79.5,82.4
6/13/2018,82.4,83.6,82.4,83.5
6/14/2018,84.5,85.3,83.1,84.5
6/15/2018,83.9,85,83.1,85
6/18/2018,84,85,81.5,84
6/19/2018,82,82,79,80
6/20/2018,80,81.9,78,81
6/21/2018,81,81.4,79.7,81
6/22/2018,81,81,79.1,81
6/25/2018,83.5,83.5,81.5,83
6/26/2018,82.5,82.5,80.9,82.5
6/27/2018,83,83,80,81
6/28/2018,80,80.9,77,79
6/29/2018,77.2,79.5,77.2,79
7/2/2018,77.4,78.9,73.5,76
7/3/2018,76,76.5,72.1,74
7/4/2018,73.2,74.6,71,74.1
7/5/2018,73.2,74.1,71.8,73.9
7/6/2018,71.8,74.1,71.1,74
7/9/2018,74,76,73.1,74.2
7/10/2018,74,74.9,73.9,74.2
7/11/2018,73.7,74.2,72.6,74
7/12/2018,72.7,74,72.6,74
7/13/2018,74,75.4,73.5,74.9
7/16/2018,74.9,75.2,73.9,74.2
7/17/2018,73.8,74.5,73.3,74.5
7/18/2018,74.5,77,74.2,76
7/19/2018,77,80.5,76.8,79.1
7/20/2018,79.3,80,78.1,79.1
7/23/2018,79,81.2,78.6,79.1
7/24/2018,78.5,81.2,78.2,80.5
7/25/2018,80.5,84,80.5,81
7/26/2018,81.9,82.1,80,81
7/27/2018,80.8,81.5,79.9,81.3
7/30/2018,81.8,81.8,80,81.4
7/31/2018,81,84.6,81,84.2
8/1/2018,84.5,84.5,82.7,84.2
8/2/2018,84.2,84.8,83.4,84.2
8/3/2018,85.1,85.2,84.2,85
8/6/2018,85,88.4,84.5,87.4
8/7/2018,87.4,90.6,87,90
8/8/2018,90,90,88.5,90
8/9/2018,90,90.9,88.9,89.9
8/10/2018,88.7,89.5,87.8,89
8/13/2018,88.3,91.8,87.9,90.9
8/14/2018,90.9,93.5,89.9,93.5
8/15/2018,93.5,93.8,91.5,91.5
8/16/2018,90.1,91.1,88.6,90
8/17/2018,90.8,91.3,89.5,89.6
8/20/2018,90.5,90.5,89.3,89.9
8/21/2018,90.8,91.8,90.2,90.3
8/22/2018,90.8,92.3,90.5,92
8/23/2018,92.8,92.9,91.2,91.2
8/24/2018,91.2,92,90.6,90.6
8/27/2018,90.6,91.8,90.5,91.2
8/28/2018,92,92,91,91.4
8/29/2018,92,93.2,91,91
8/30/2018,92,97,91.5,97
8/31/2018,95.6,97.2,94.8,95
9/4/2018,95,96.3,94,94
9/5/2018,93.7,94.6,92.6,93
9/6/2018,93,95.5,92.9,94.8
9/7/2018,94.3,95,93.7,95
9/10/2018,94.1,95,91.5,91.5
9/11/2018,92,92.6,90,92.5
9/12/2018,93.6,94.5,92.6,92.6
9/13/2018,91.7,94,91.7,92.4
9/14/2018,92.4,92.4,91.5,91.6
9/17/2018,91.1,91.6,88.9,91.6
9/18/2018,91.5,91.5,89.1,90.1
9/19/2018,92,93,91,91.2
9/20/2018,91.5,92.7,91.5,92.5
9/21/2018,92.5,94.7,91,91
9/24/2018,93,95,92.9,94.5
9/25/2018,95.5,95.9,93.9,94.4
9/26/2018,93.5,94.2,93.3,93.5
9/27/2018,93.5,94,92,92.5
9/28/2018,93.4,93.4,91.5,92.8
10/1/2018,92.8,93.9,91.6,93.9
10/2/2018,93.9,94.1,90.6,94
10/3/2018,93.5,93.7,92.5,93.2
10/4/2018,93.3,93.9,92.8,93.9
10/5/2018,93.8,93.8,90.9,91
10/8/2018,90.5,91,87.6,89.8
10/9/2018,89.8,90,88,88
10/10/2018,88,88,84.5,84.5
10/11/2018,80.7,81.9,78.6,78.6
10/12/2018,75.4,81.3,75.4,81.3
10/15/2018,81,81,78,78.5
10/16/2018,78.4,79.2,77.5,78.6
10/17/2018,80,81.8,79.5,81
10/18/2018,81,81.3,79.8,80.2
10/19/2018,79.1,81,78.5,81
10/22/2018,81,81.4,79.2,79.2
10/23/2018,79,79,75.1,77.5
10/24/2018,76.1,77.4,74.2,75
10/25/2018,71,77.5,71,77.5
