Date,Open,High,Low,Close
2/28/2018,78.14,80.61,78.09,78.71
3/1/2018,78.14,80.32,77.66,77.66
3/2/2018,77.14,77.9,76.86,77.33
3/5/2018,77.14,80.5,77.14,78.28
3/6/2018,78.61,83.13,77.43,81.45
3/7/2018,81.78,84.68,79.32,80.74
3/8/2018,83.18,84.1,80.74,82.35
3/9/2018,82.87,85.69,82.16,82.35
3/12/2018,82.87,84.19,81.45,81.78
3/13/2018,81.64,83.22,80.46,81.12
3/14/2018,83.66,84.43,81.5,81.64
3/15/2018,81.69,83.95,81.26,81.45
3/16/2018,81.69,86.61,81.59,85.24
3/19/2018,86.19,88.93,85.24,86.38
3/20/2018,85.29,89.03,85,86.19
3/21/2018,86.19,89.95,85.71,86.66
3/22/2018,87.13,89.52,86.19,87.13
3/23/2018,87.58,88.21,85.24,85.71
3/26/2018,85.24,89.52,85.24,87.75
3/27/2018,88.56,92.85,88.56,91.21
3/28/2018,89.5,94.84,89.5,93.29
3/29/2018,93.29,96.34,92.39,93.76
3/30/2018,93.76,99.68,100.16,97.55
4/2/2018,98.5,99.19,95.19,98.9
4/3/2018,95.94,98.71,95.37,95.9
4/4/2018,96.13,97.74,93.15,95.37
4/5/2018,95.19,98.71,94.81,94.95
4/6/2018,94.24,96.77,91.87,91.87
4/9/2018,90.92,93.39,87.37,87.61
4/10/2018,87.18,93.39,85.71,91.4
4/11/2018,91.4,94.84,88.56,88.56
4/12/2018,88.32,91.21,87.13,88.22
4/13/2018,89.5,92.08,87.99,88.08
4/16/2018,88.08,89.5,87.42,87.47
4/17/2018,87.18,90.34,85.48,85.95
4/18/2018,86.19,88.79,81.93,84.68
4/19/2018,83.22,83.71,77.19,78.14
4/20/2018,78.14,83.22,78.14,81.64
4/23/2018,83.11,84.29,81.45,82.4
4/24/2018,80.98,83.47,79.56,82.4
4/26/2018,80.98,82.84,79.08,80.81
4/27/2018,78.37,84.19,77.66,80.98
5/2/2018,81.93,84.68,80.03,80.98
5/3/2018,80.5,82.74,78.99,82.26
5/4/2018,80.5,83.22,80.5,80.98
5/7/2018,82.4,88.5,81.93,86.61
5/8/2018,86.71,90.97,86.71,86.71
5/9/2018,86.71,89.03,85.48,86.42
5/10/2018,86.38,88.98,83.82,83.82
5/11/2018,83.58,88.06,82.54,86.66
5/14/2018,87.7,90.49,86.52,88.18
5/15/2018,89.86,90.39,87.28,87.7
5/16/2018,86.8,89.37,85.71,86.28
5/17/2018,86.76,88.64,85.1,85.81
5/18/2018,86.05,87.92,83.34,85.81
5/21/2018,86.95,88.84,85.33,85.33
5/22/2018,85.33,86.85,82.49,83.86
5/23/2018,83.86,85.74,82.54,84.86
5/24/2018,86.71,86.76,83.44,84.86
5/25/2018,86.22,86.22,82.49,82.49
5/28/2018,83.32,83.32,76.75,78.42
5/29/2018,76.75,80.85,72.53,78.22
5/30/2018,78.22,79.93,76.33,76.8
5/31/2018,76.8,80.89,75.62,80.89
6/1/2018,78.22,83.32,78.22,80.93
6/4/2018,81.07,83.8,80.64,82.02
6/5/2018,82.49,85.74,82.02,84.86
6/6/2018,85.33,89.52,83.91,87.66
6/7/2018,87.7,89.66,85.57,86.76
6/8/2018,86.28,89.13,85.81,87.09
6/11/2018,86.42,89.13,85.33,86.28
6/12/2018,87.29,87.29,82.49,84.39
6/13/2018,81.59,85.69,80.83,82.73
6/14/2018,85.33,89.37,84.62,84.62
6/15/2018,84.62,88.13,83.77,86.46
6/18/2018,84.62,86.53,80.35,82.1
6/19/2018,77.51,79.27,74.73,75.37
6/20/2018,77.51,78.83,74.66,76.09
6/21/2018,76.09,77.38,72.39,73.24
6/22/2018,71.82,76.29,69.69,76.29
6/25/2018,75.37,78.03,73.6,73.6
6/26/2018,72.25,74.11,70.26,72.67
6/27/2018,71.89,74.47,68.98,68.98
6/28/2018,68.98,70.84,64.21,64.21
6/29/2018,63.29,66.12,60.94,61.86
7/2/2018,60.09,62.12,57.6,58.85
7/3/2018,56.89,59.51,54.04,55.22
7/4/2018,55.22,59.07,53.33,57.81
7/5/2018,59.59,61.54,55.46,59.07
7/6/2018,58.12,62.85,56.32,61.51
7/9/2018,62.48,63.21,58.66,58.66
7/10/2018,58.66,62.48,58.31,62.12
7/11/2018,58.88,60.89,57.46,59.94
7/12/2018,58.31,61.03,57.6,58.45
7/13/2018,59.02,61.39,59.02,60.44
7/16/2018,61.15,65.75,61.15,64.21
7/17/2018,64,68.66,63.36,66.77
7/18/2018,66.77,70.48,65.78,69.75
7/19/2018,70.33,70.33,66.84,66.84
7/20/2018,67.35,69.1,65.42,67.62
7/23/2018,69.75,71.2,67.55,68.26
7/24/2018,69.02,69.39,65.78,66.2
7/25/2018,66.27,69.02,66.27,66.84
7/26/2018,66.84,67.42,63.64,64
7/27/2018,66.12,67.86,64.35,66.49
7/30/2018,67.91,70.11,66.91,68.9
7/31/2018,68.9,70.33,67.77,68.62
8/1/2018,69.75,69.75,66.56,66.84
8/2/2018,66.56,69.39,66.49,69.39
8/3/2018,70.48,70.48,67.7,67.91
8/6/2018,69.39,69.39,66.34,67.93
8/7/2018,66.13,67.93,65.42,65.49
8/8/2018,66.86,68.17,66.14,67.95
8/9/2018,66.86,70.67,66.79,69.02
8/10/2018,70.37,71.69,68.66,70.52
8/13/2018,70.52,71.62,68.08,71.62
8/14/2018,72.06,74.71,70.17,73.33
8/15/2018,73.33,75.81,70.81,71.17
8/16/2018,70.09,74.19,69.74,74.19
8/17/2018,72.97,75.22,71.17,71.17
8/20/2018,71.17,74.34,70.96,71.82
8/21/2018,72.54,76.76,71.6,75.49
8/22/2018,75.49,77.28,73.91,74.7
8/23/2018,74.05,76.32,73.47,76.25
8/24/2018,74.05,76.91,73.83,74.7
8/27/2018,76.98,77.28,73.83,74.05
8/28/2018,76.32,76.39,73.91,74.05
8/29/2018,74.05,76.54,73.98,76.47
8/30/2018,74.84,78.08,74.12,76.21
8/31/2018,77.79,77.86,74.12,74.12
9/4/2018,73.69,75.66,72.04,73.46
9/5/2018,71.75,73.31,69.74,70.09
9/6/2018,70.09,72.58,69.02,69.02
9/7/2018,70.74,72.28,69.23,70.6
9/10/2018,70.6,72.72,70.24,70.6
9/11/2018,70.45,73.16,70.09,71.68
9/12/2018,71.89,74.93,71.89,73.82
9/13/2018,72.25,74.71,72.25,72.97
9/14/2018,72.97,73.55,72.61,73.26
9/17/2018,72.61,74.85,71.46,71.82
9/18/2018,70.74,73.09,70.74,71.17
9/19/2018,72.61,74.19,70.96,71.46
9/20/2018,71.89,73.46,71.03,71.46
9/21/2018,71.46,74.63,71.46,74.63
9/24/2018,73.98,75.88,73.33,73.62
9/25/2018,73.33,76.39,72.68,74.41
9/26/2018,74.12,76.17,73.69,73.69
9/27/2018,73.69,75.88,73.26,75.51
9/28/2018,73.91,78.01,73.91,77.5
10/1/2018,75.85,78.82,74.77,75.56
10/2/2018,75.49,77.86,75.2,75.2
10/3/2018,77.42,79.26,75.27,77.5
10/4/2018,77.64,80.58,77.57,77.64
10/5/2018,77.64,79.92,76.57,76.71
10/8/2018,76.21,78.97,75.92,78.38
10/9/2018,77.21,80.07,76.92,78.07
10/10/2018,78.36,80.58,78.15,78.87
10/11/2018,75.85,77.86,73.47,73.47
10/12/2018,71.68,77.72,71.68,77.72
10/15/2018,76.06,77.64,73.33,73.69
10/16/2018,73.69,76.32,73.4,74.48
10/17/2018,76.06,77.5,74.77,74.77
10/18/2018,74.48,76.91,74.05,74.77
10/19/2018,73.33,75.29,72.97,74.91
10/22/2018,75.41,77.57,72.97,72.97
10/23/2018,72.4,74.49,70.31,71.17
10/24/2018,71.68,73.82,69.02,69.02
10/25/2018,65.42,69.02,65.06,68.23
10/26/2018,69.66,70.89,66.57,66.57
10/29/2018,66.14,67.58,64.77,64.77
10/30/2018,64.77,67.95,64.77,67.29
10/31/2018,68.3,69.93,67.22,69.74
11/1/2018,69.45,71.55,68.3,68.3
11/2/2018,69.02,72.5,68.66,70.81
11/5/2018,70.09,72.06,69.09,70.81
11/6/2018,71.75,72.65,69.59,69.74
11/7/2018,70.09,71.62,68.66,70.67
11/8/2018,70.45,71.84,69.38,69.52
11/9/2018,70.52,71.03,67.58,67.58
11/12/2018,67,68.3,66.72,68.3
11/13/2018,67.22,68.98,66.93,67.22
11/14/2018,67.22,69.05,66.28,67.22
11/15/2018,66.93,69.05,66.07,66.14
11/16/2018,66.86,69.2,66.43,66.86
11/19/2018,68.9,69.71,67.22,69.71
11/20/2018,68.23,70.3,67.87,68.73
11/21/2018,68.23,70.22,67.65,68.66
11/22/2018,68.87,71.03,68.8,70.81
11/23/2018,69.38,70.96,68.37,68.37
11/26/2018,68.23,69.93,68.01,69.02
11/27/2018,69.38,70.96,67.79,69.42
11/28/2018,67.58,69.71,67.58,68.66
11/29/2018,70.15,70.3,65.42,65.64
11/30/2018,65.64,67.8,65.64,67.65
12/3/2018,67.87,69.71,67.36,69.71
12/4/2018,68.3,70,67.94,69.78
12/5/2018,67.94,70.3,67.43,70.08
12/6/2018,68.59,70.67,67.94,69.02
12/7/2018,68.66,72.35,68.66,70.45
12/10/2018,71.25,71.69,69.59,71.11
12/11/2018,69.59,71.25,69.38,69.74
12/12/2018,69.74,71.99,69.74,70.45
12/13/2018,70.81,72.8,70.74,71.1
12/14/2018,72.8,73.31,70.38,70.53
12/17/2018,70.17,71.55,69.3,71.53
12/18/2018,70.52,71.55,67.94,70.37
12/19/2018,70.15,70.37,67.72,67.72
12/20/2018,69.2,70.15,67.51,67.65
12/21/2018,67.22,68.44,67.22,68.3
12/24/2018,68.3,70.52,68.3,68.44
12/25/2018,67.15,69.27,66.86,67.36
12/26/2018,67.36,67.94,67.15,67.22
12/27/2018,68.66,70,67.94,68.15
12/28/2018,68.66,69.78,67.86,69.04
1/2/2019,67.57,69.49,66.7,66.7
1/3/2019,66.7,68.52,64.38,64.53
1/4/2019,63.44,66.08,62.64,65.25
1/7/2019,66.34,67.93,65.69,66.27
1/8/2019,65.98,67.19,65.25,65.98
1/9/2019,66.48,67.93,65.61,67.78
1/10/2019,66.48,68.6,66.05,66.92
1/11/2019,67.06,68.6,66.63,68.52
1/14/2019,68.45,68.45,66.34,66.63
1/15/2019,66.05,68.15,66.05,66.63
1/16/2019,66.99,68.37,66.27,66.48
1/17/2019,66.12,67.71,65.25,65.25
1/18/2019,65.61,66.6,64.67,64.67
1/21/2019,65.25,68,65.25,67.93
1/22/2019,66.48,68,65.69,65.69
1/23/2019,65.47,67.41,65.47,65.61
1/24/2019,65.61,67.56,65.61,65.76
1/25/2019,65.76,68.45,65.76,66.7
1/28/2019,67.43,69.93,67.06,68.3
1/29/2019,68.59,69.63,67.79,68.15
1/30/2019,68.15,68.3,67.86,68.01
1/31/2019,68.15,69.24,68.15,68.88
2/1/2019,69.24,70.08,68.15,68.59
2/11/2019,69.53,72.23,69.31,70.69
2/12/2019,70.69,71.93,69.6,70.18
2/13/2019,70.18,72.6,69.67,70.76
2/14/2019,72.38,72.75,70.4,70.47
2/15/2019,70.54,72.08,70.11,70.11
2/18/2019,70.54,71.86,69.6,70.54
2/19/2019,70.54,73.71,70.54,70.98
2/20/2019,71.2,73.41,70.98,71.7
2/21/2019,71.99,73.34,71.2,71.78
2/22/2019,71.12,73.86,71.12,73.41
2/25/2019,73.71,75.19,72.14,72.5
2/26/2019,72.86,74.45,70.83,71.2
2/27/2019,71.27,73.26,70.91,71.49
2/28/2019,71.41,71.41,69.89,69.89
3/1/2019,69.89,72.89,69.89,71.41
3/4/2019,71.63,74.97,71.63,73.15
3/5/2019,73.08,74.97,72.14,72.57
3/6/2019,72.07,73.15,72.07,72.43
3/7/2019,72.43,74.45,72.14,72.36
3/8/2019,71.78,73.71,71.49,71.63
3/11/2019,71.78,73.71,71.49,72.14
3/12/2019,74.45,74.97,72.21,74
3/13/2019,72.43,75.56,72.43,73.95
3/14/2019,74.31,77.04,74.1,75.55
3/15/2019,75.55,77.63,74.75,75.4
3/18/2019,75.4,77.19,74.75,75.4
3/19/2019,76.13,77.78,73.95,74.17
3/20/2019,75.78,76.3,73.23,73.59
3/21/2019,73.59,75.93,72.86,72.86
3/22/2019,74.45,75.93,71.92,74.1
3/25/2019,72.5,74.82,71.78,72.28
3/26/2019,72.28,73.15,71.85,72.28
3/27/2019,72.36,74.45,72.14,72.43
3/28/2019,71.85,73.93,71.85,72.21
3/29/2019,72.21,74.23,71.7,72.14
4/1/2019,72.14,74.45,71.92,72.72
4/2/2019,73.15,74.67,71.92,72.28
4/3/2019,72.5,73.78,71.7,71.78
4/4/2019,71.99,74.82,71.41,73.23
4/5/2019,73.88,75.04,72.86,72.86
4/8/2019,73.23,75.04,72.65,75.04
4/9/2019,73.88,76.38,73.66,73.66
4/10/2019,74.82,74.97,72.36,74
4/11/2019,73.15,74.38,72.43,72.65
4/12/2019,72.07,74,72.07,72.21
4/16/2019,73.49,73.56,71.41,71.56
4/17/2019,71.63,74.23,71.56,71.92
4/18/2019,71.92,73.49,70.54,70.54
4/19/2019,72.08,72.97,70.54,70.83
4/22/2019,71.05,72.97,70.4,71.41
4/23/2019,71.41,74.08,71.41,72.36
4/24/2019,72.65,74.23,72.21,72.5
4/25/2019,73.93,74.08,71.85,73.56
4/26/2019,71.99,74.23,71.78,72.57
5/2/2019,72.72,76.3,72.65,74.68
5/3/2019,76.08,77.04,74.39,74.46
5/6/2019,73.44,75.49,72.5,75.49
5/7/2019,73.95,75.63,73.15,75.26
5/8/2019,72.65,75.19,72.65,73.23
5/9/2019,72.94,75.04,72.14,72.36
5/10/2019,72.86,73.23,72.21,72.86
5/13/2019,72.86,74.67,72.72,73.08
5/14/2019,73.01,75.19,72.86,73.15
5/15/2019,73.23,76.08,73.15,74.31
5/16/2019,74.75,76.75,74.6,74.6
5/17/2019,74.68,76.23,74.17,75.93
5/20/2019,74.6,79.26,74.24,78.3
5/21/2019,78.45,79.56,77,77.29
5/22/2019,77.29,80.83,77.29,78.01
5/23/2019,78.09,80.9,77.29,79.54
5/24/2019,78.89,81.64,78.38,79.79
5/27/2019,79.04,80.01,77,77
5/28/2019,77.36,80.53,77.36,80.38
5/29/2019,78.89,80.6,77,79.19
5/30/2019,79.19,79.79,77.14,77.14
5/31/2019,77,77.14,74.89,74.89
6/3/2019,74.53,76.37,73,73.22
6/4/2019,73.37,74.31,73.29,73.29
6/5/2019,74.96,77.29,74.58,74.58
6/6/2019,76.89,76.89,73.8,74.58
6/7/2019,76.6,77.98,74.77,77.98
6/10/2019,76.9,78.67,76.13,76.32
6/11/2019,76.32,78.48,76.03,76.42
6/12/2019,77.19,77.58,74.38,75.9
6/13/2019,73.8,74.81,72.35,72.35
6/14/2019,72.35,74.22,71.77,71.86
6/17/2019,71.86,73.73,69.93,69.93
6/18/2019,70.22,72.24,68.77,69.25
6/19/2019,69.73,71.65,69.35,69.54
6/20/2019,69.73,73.13,69.73,71.38
6/21/2019,73.43,74.22,71.57,71.86
6/24/2019,71.67,73.63,71.28,71.28
6/25/2019,71.38,73.03,70.31,71.94
6/26/2019,71.75,72.44,70.22,70.51
6/27/2019,70.61,72.24,69.73,69.73
6/28/2019,69.73,72.24,69.54,72.24
7/1/2019,70.9,72.83,70.8,71.96
7/2/2019,73.53,74.02,71.67,72.45
7/3/2019,72.45,73.73,71.38,71.38
7/4/2019,71.67,73.92,71.57,72.15
7/5/2019,72.54,74.12,71.86,72.15
