Date,Open,High,Low,Close
10/17/2018,98.5,99.6,98.3,99
10/18/2018,98.5,99.2,98,99.1
10/19/2018,96.5,99.1,96.5,99.1
10/22/2018,98.1,99.6,97.1,99.1
10/23/2018,98.1,99,96.5,99
10/24/2018,98,99.5,97.5,98.8
10/25/2018,96.7,98.2,94.6,96.8
10/26/2018,96.2,98,95.7,96.4
10/29/2018,95.5,97.7,95,97.2
10/30/2018,95.5,97.3,95.5,96.6
10/31/2018,95.6,97.2,95.6,97.2
11/1/2018,96.5,96.8,95,95.5
11/2/2018,95.6,96.7,95.5,96
11/5/2018,96,96.5,95.1,96
11/6/2018,96.5,96.5,95.4,95.8
11/7/2018,96.3,96.3,94.3,96
11/8/2018,96,96.6,95.8,96
11/9/2018,95,96,95,95.9
11/12/2018,95.8,96,95.5,95.9
11/13/2018,94.8,95,93.3,93.3
11/14/2018,93.6,95.1,93.4,94.7
11/15/2018,94.7,94.7,90.9,91.7
11/16/2018,91.7,92.5,89.8,90.1
11/19/2018,90.1,96.4,90.1,96.4
11/20/2018,94.7,97.2,94.7,97.2
11/21/2018,97,97.3,95,97.3
11/22/2018,97.2,98,96.5,98
11/23/2018,98.2,99,97,99
11/26/2018,99,99.9,100,100.5
11/27/2018,100.5,103.2,100.5,101.5
11/28/2018,101.5,102,100.8,102
11/29/2018,102.5,103,101.7,102
11/30/2018,101,99.9,100,101.7
12/3/2018,101.8,103,101.3,101.9
12/4/2018,102.4,102.4,101.6,102
12/5/2018,101.9,102.2,101,102.1
12/6/2018,102.1,102.2,101.1,102.1
12/7/2018,102.1,102.2,101.5,102.2
12/10/2018,102,102.2,101.1,102.1
12/11/2018,102.1,102.2,101.4,102.2
12/12/2018,102.2,102.4,102,102.2
12/13/2018,102.3,103.9,101.8,102.8
12/14/2018,102.2,103,101.6,102.7
12/17/2018,102,102.7,101.9,102.5
12/18/2018,101.8,102,100,102
12/19/2018,102,102.3,100.5,102
12/20/2018,101,102,100.8,101.9
12/21/2018,100.5,102,100,102
12/24/2018,102,102.2,101.3,102
12/25/2018,100.1,101.9,100.1,101.9
12/26/2018,101,101.9,101,101.9
12/27/2018,101,102.9,101,102.4
12/28/2018,103.3,95.3,102.2,95.3
1/2/2019,101.2,99.9,100,100.4
1/3/2019,100,99.9,100,100.3
1/4/2019,100,99.5,100,100.6
1/7/2019,100.9,103,100,101
1/8/2019,102,99.9,100,101
1/9/2019,101,99.8,100,101.5
1/10/2019,101.2,101.5,100,101.4
1/11/2019,101,101.4,100.1,101.4
1/14/2019,101.3,101.9,100.2,101.4
1/15/2019,101.4,101.5,100.4,101.5
1/16/2019,101.5,102.1,100.8,102
1/17/2019,102,102.2,100.7,102
1/18/2019,101.5,102.2,100.9,102.2
1/21/2019,102.2,102.4,101.3,102.4
1/22/2019,102.4,102.4,101.5,102.4
1/23/2019,102,103.7,102,102.6
1/24/2019,102.5,102.9,102.2,102.8
1/25/2019,102.8,103.5,102.2,102.9
1/28/2019,102.9,103.7,102.6,103.7
1/29/2019,104.9,104.9,103,103.9
1/30/2019,103.9,104,102.9,103.9
1/31/2019,104,104.5,102.5,103.9
2/1/2019,103.8,98.8,101.8,98.8
2/11/2019,101.8,104,101.2,104
2/12/2019,104.9,109.1,104,109.1
2/13/2019,108,109.3,107.2,109
2/14/2019,109,113,109,112.9
2/15/2019,113,113,112,112
2/18/2019,112.5,113.7,111.7,113.7
2/19/2019,113.5,116.6,113.5,116
2/20/2019,115.2,116.9,115.2,116.5
2/21/2019,116.5,118.4,116.3,118.4
2/22/2019,118,118.4,116.6,117
2/25/2019,117,117.9,115.9,116.3
2/26/2019,116,116.6,113.5,115.5
2/27/2019,115.5,117.9,115.5,117.4
2/28/2019,117,117.4,113.1,114
3/1/2019,114,117,114,115.1
3/4/2019,116.7,117.6,115.8,117.4
3/5/2019,117.4,117.8,116.9,117.3
3/6/2019,117.7,117.7,117.1,117.7
3/7/2019,117.9,122.5,117.9,119.2
3/8/2019,119,119.6,118.1,118.1
3/11/2019,117,118.3,117,118.3
3/12/2019,119,119.4,118.2,118.6
3/13/2019,118.5,120,117,117.5
3/14/2019,116.5,118.8,115.6,118.8
3/15/2019,119.3,119.3,117.9,118.7
3/18/2019,120,121.3,119.1,121.3
3/19/2019,121.3,122.4,120.7,121
3/20/2019,121,121,119.1,120.2
3/21/2019,120.1,120.3,117,117
3/22/2019,117,118.9,117,118.6
3/25/2019,117,117.3,115,115.2
3/26/2019,115.5,116.8,113,113.7
3/27/2019,115,115.9,113.9,113.9
3/28/2019,113.9,115.9,113.9,115.9
3/29/2019,115.9,116.8,115.9,115.9
4/1/2019,116.4,116.5,115.8,116.5
4/2/2019,116.9,117.2,116.2,116.3
4/3/2019,115.5,116,114.5,114.9
4/4/2019,115.5,115.8,114.1,115.1
4/5/2019,115.3,115.4,114.6,115.1
4/8/2019,115.2,115.8,114.8,115.5
4/9/2019,116,116,112.8,113
4/10/2019,113,114,110.9,111.8
4/11/2019,111.8,115,111.8,115
4/12/2019,115,115,113,113.2
4/16/2019,109.5,113.1,108,113.1
4/17/2019,111.3,113,110,110
4/18/2019,109.5,110,105,109
4/19/2019,110,110.6,108.2,110.1
4/22/2019,109,111.9,107,111.9
4/23/2019,111.9,113,111,113
4/24/2019,113,114,112.1,113.8
4/25/2019,113.8,113.8,112,113.6
4/26/2019,112,113.7,112,113.7
5/2/2019,113.8,113.9,113,113.6
5/3/2019,113.7,113.7,112.1,112.5
5/6/2019,112,112.3,110.2,112.2
5/7/2019,112.2,113.3,111,112.6
5/8/2019,111.5,112.7,111.4,112.6
5/9/2019,112.7,112.7,111.6,112.6
5/10/2019,112.6,113,112.2,112.7
5/13/2019,111.9,112.9,111.7,112.9
5/14/2019,112,113.5,111.9,113.5
5/15/2019,113.5,116.2,113.4,115.3
5/16/2019,115.3,118.9,115.3,116.9
5/17/2019,117,118.1,116.1,116.9
5/20/2019,117.2,117.5,116.1,117.5
5/21/2019,118.7,118.7,116.3,117.5
5/22/2019,117.2,118.1,116,117.5
5/23/2019,117,117.6,116.2,117
5/24/2019,115.5,116.2,114.3,115
5/27/2019,114,115.9,114,115
5/28/2019,116,116,114,114
5/29/2019,114.9,115.4,114,115.2
5/30/2019,115.2,116.2,115,115
5/31/2019,115.8,115.8,114.6,114.6
6/3/2019,114,115.5,113,114.5
6/4/2019,113.6,115.4,113.6,114.6
6/5/2019,115,115.9,115,115.9
6/6/2019,115.9,115.9,114.4,115.9
6/7/2019,116.6,117,116.1,117
6/10/2019,117.2,118.7,117.2,117.6
6/11/2019,117.6,117.8,117,117
6/12/2019,117,117.5,116,116
6/13/2019,115.2,115.9,115.2,115.5
6/14/2019,116,116,114.3,115.5
6/17/2019,115.9,116.5,113.8,114.5
6/18/2019,114.7,115,113.8,114
6/19/2019,114.7,115.9,114.5,115.9
6/20/2019,116.2,117.1,115.6,116
6/21/2019,116.5,116.8,114.5,114.5
6/24/2019,115,116.6,115,116.4
